timestep,reward
268810,2.3
269211,2.2415
269564,2.3865
269985,2.2935
270362,2.3005
270775,2.2815
271152,2.3395
271513,2.0555
271840,2.0385
272214,1.9855
272579,2.163
272930,2.274
273342,2.015
273711,2.1
274126,2.2885
274538,1.9575
274938,2.151
275355,2.0735
275746,2.215
276123,2.166
276486,2.117
276874,2.1145
277241,2.2355
277670,1.9665
278077,2.3975
278473,2.2795
278873,2.211
279249,2.1995
279679,2.133
280076,2.235
280497,2.143
280892,2.1075
281256,2.0915
281646,2.3065
282042,2.1285
282450,2.293
282836,2.257
283228,2.2285
283644,2.249
284087,2.1485
284482,2.106
284872,2.0055
285272,2.158
285675,2.2025
286059,2.1675
286435,2.1255
286801,2.0925
287137,1.8985
287508,2.0285
287933,1.9985
288335,2.1505
288737,2.0705
289157,1.9085
289528,2.155
289935,2.1695
290294,2.093
290691,2.0665
291103,2.002
291497,2.092
291890,1.935
292281,2.0815
292650,2.088
293019,2.1875
293387,2.2275
293757,2.0695
294139,2.0915
294531,1.9065
294984,2.2255
295421,2.123
295800,2.1945
296206,2.004
296579,2.09
296972,2.04
297398,2.279
297781,2.3845
298163,2.0625
298557,2.19
298929,2.2455
299281,2.2235
299706,2.0935
300081,2.246
300468,2.199
300836,2.096
301202,2.277
301581,2.268
302001,2.1865
302357,2.088
302807,2.318
303246,2.2165
303672,2.315
304105,2.181
304525,2.335
304900,2.325
305252,2.2525
305632,2.039
306052,2.076
306452,2.1855
306889,2.166
307334,2.101
307703,2.1725
308070,2.1325
308465,2.104
308838,1.8255
309208,1.993
309591,2.158
309980,2.0185
310352,2.099
310708,1.961
311116,2.13
311476,2.1465
311856,2.1585
312278,2.037
312729,1.969
313096,2.029
313419,2.1115
313863,2.145
314247,1.861
314672,2.228
315024,1.9745
315462,2.2305
315847,2.0925
316182,2.076
316565,2.218
316935,2.23
317315,2.083
317755,2.284
318115,2.201
318480,2.1905
318921,1.872
319290,1.9385
319755,2.072
320158,2.0775
320570,2.067
320983,2.1415
321345,1.923
321746,1.8765
322146,2.0715
322541,2.267
322975,2.116
323365,2.0635
323799,2.175
324183,2.1775
324566,2.136
324980,2.147
325365,2.127
325722,2.0935
326132,2.0855
326534,2.2505
326968,2.047
327357,2.127
327771,2.323
328111,2.2325
328446,2.2125
328866,1.959
329247,2.283
329640,1.9715
330043,2.0725
330402,2.1465
330862,2.0485
331254,2.136
331669,2.4075
332061,1.949
332446,2.292
332836,2.275
333266,2.2085
333631,2.1595
334008,2.0925
334406,1.926
334879,1.956
335301,2.075
335666,2.1455
336008,2.15
336388,2.0175
336791,2.2895
337144,2.0265
337552,2.172
337960,2.1285
338354,1.9075
338781,2.1665
339166,2.139
339604,2.237
340021,2.112
340382,2.335
340768,2.2115
341178,2.0375
341537,2.143
341997,2.1215
342367,1.9755
342783,1.944
343151,2.0385
343559,2.1245
343941,2.319
344331,2.351
344710,2.0295
345144,1.9495
345524,2.01
345921,2.0325
346310,2.1915
346672,1.9805
346974,2.142
347352,2.0995
347703,1.878
348106,2.263
348497,2.173
348851,2.181
349205,1.922
349577,2.226
350007,2.0
350341,2.2055
350779,2.034
351161,2.0925
351534,2.135
351955,1.804
352359,2.0515
352805,1.971
353176,1.8775
353496,2.0945
353865,1.8405
354219,2.1235
354627,2.1665
355038,2.0695
355400,1.963
355804,2.191
356217,2.144
356608,2.0635
356945,1.9625
357318,1.9765
357726,2.1165
358114,1.85
358517,2.4345
358912,2.1075
359291,1.6735
359643,2.2145
360021,2.13
360422,2.1695
360817,2.0625
361187,2.039
361600,2.1155
361946,2.0115
362328,1.926
362765,2.1495
