timestep,reward
179343,2.496
179621,2.459
179902,2.441
180137,3.64
180402,1.755
180705,5.64
180969,3.828
181236,5.717
181515,5.838
181816,5.171
182146,3.292
182408,6.349
182707,6.535
183043,6.261
183340,4.827
183620,9.374
183924,2.937
184202,9.427
184495,5.377
184746,6.91
185049,8.626
185340,5.181
185622,8.72
185929,8.797
186253,5.216
186541,4.366
186841,6.424
187161,1.776
187475,4.394
187769,3.787
188064,5.486
188372,4.827
188680,4.124
189001,2.858
189290,5.779
189572,6.907
189850,6.876
190133,4.848
190446,3.783
190743,3.936
191020,1.004
191301,5.451
191580,5.239
191872,3.9
192160,5.073
192465,3.831
192772,1.969
193084,5.407
193369,5.588
193700,4.976
193964,5.116
194226,5.869
194529,7.405
194791,1.204
195089,8.618
195377,5.092
195670,3.355
195995,5.609
196268,6.07
196568,5.051
196817,3.591
197102,5.037
197393,5.671
197656,2.581
197965,3.158
198271,7.535
198525,2.217
198807,9.554
199121,6.557
199393,7.578
199657,0.19
199896,4.406
200163,3.513
200415,5.461
200672,5.084
200956,4.474
201238,9.978
201544,4.575
201825,1.212
202138,3.223
202393,4.671
202684,7.819
202990,3.286
203260,2.668
203541,4.471
203840,6.415
204109,0.557
204411,3.337
204677,7.061
204989,7.061
205287,2.102
205593,4.392
205860,4.758
206190,6.694
206464,4.979
206770,5.709
207075,4.483
207356,6.767
207628,4.175
207901,3.847
208181,3.801
208448,2.766
208753,5.579
209039,5.457
209309,8.168
209568,1.061
209834,5.053
210132,7.391
210433,6.14
210728,3.674
210990,9.403
211291,1.987
211609,4.536
211942,5.278
212228,6.018
212563,6.895
212870,5.268
213195,6.846
213507,3.672
213801,5.546
214098,3.612
214378,3.999
214666,6.512
214975,3.081
215291,1.808
215595,9.7
215884,6.293
216224,4.29
216524,7.128
216813,7.085
217103,1.756
217374,5.187
217630,3.633
217965,4.386
218240,5.009
218524,3.01
218830,5.182
219111,6.007
219367,6.877
219625,7.876
219950,3.68
220281,6.453
220600,3.48
220883,7.781
221172,3.77
221482,2.791
221784,6.121
222080,0.553
222339,7.977
222616,0.101
222920,5.502
223209,7.395
223524,8.332
223826,4.894
224062,6.142
224346,2.96
224685,6.857
224979,5.39
225248,7.7
225549,3.178
225792,6.053
226137,3.541
226395,4.692
226689,4.649
226979,3.238
227248,4.327
227559,6.013
227875,2.627
228171,3.86
228411,7.067
228674,3.326
228955,6.192
229290,6.768
229600,4.695
229872,7.7
230152,5.36
230462,7.598
230765,6.989
231038,2.673
231336,4.613
231596,5.987
231852,5.412
232126,4.865
232419,7.664
232729,5.359
233008,3.458
233332,0.712
233590,4.945
233873,4.093
234128,2.864
234423,2.268
234747,4.427
235039,6.003
235334,4.2
235637,3.796
235937,4.252
236252,4.425
236551,3.253
236849,3.33
237117,3.747
237403,2.503
237669,4.318
237950,5.915
238261,5.511
238562,3.98
238882,4.346
239184,4.494
239519,5.525
239806,4.113
240075,6.119
240397,3.9
240708,6.773
241012,7.963
241291,6.076
241596,4.399
241899,5.767
242170,3.672
242468,7.466
242798,4.012
243078,6.347
243350,5.058
243645,3.353
243955,4.118
244249,3.883
244537,3.826
244787,3.109
245082,3.184
245333,3.178
245586,7.33
245923,5.968
246230,3.855
246531,9.965
246819,5.122
247100,2.049
247396,2.55
247685,5.435
247958,5.325
248232,3.839
248520,3.015
248841,2.587
249125,3.255
249436,5.171
249734,6.216
249983,6.137
250264,1.128
250555,2.06
250847,5.084
251134,3.428
251440,3.044
251756,5.215
252012,6.421
252320,6.59
252616,5.447
252912,4.528
253230,6.332
253522,3.827
253771,4.068
254023,1.856
254330,4.703
254612,5.617
254874,0.294
255143,3.349
255414,5.071
255693,4.475
256002,6.654
256287,5.973
256575,1.71
256842,4.917
257155,3.331
257422,2.801
257713,6.832
258007,4.279
258277,5.14
258572,5.493
258863,5.241
259132,5.611
259427,1.842
259731,6.213
260008,0.555
260302,4.643
260566,5.3
260869,2.064
261144,5.335
261445,5.959
261740,4.78
262082,3.115
262353,4.132
262644,2.344
262921,6.119
263193,3.689
263506,3.665
263822,6.106
264140,3.056
264415,3.864
264697,6.004
264988,2.632
265311,0.547
265597,3.568
265881,2.879
266166,2.738
266505,2.821
266795,1.474
267059,4.79
267340,5.21
267646,6.961
267918,3.505
268203,4.083
268529,5.655
268815,3.257
269122,4.794
269403,2.779
269687,5.989
269955,6.09
270253,3.497
270535,5.009
270802,4.624
271061,3.418
271361,5.762
271627,4.537
271894,7.852
