timestep,reward
3711114,0.523
3717312,0.536
3723649,0.513
3730213,0.582
3736669,0.53
3742967,0.523
3749347,0.543
3755902,0.516
3762294,0.529
3768804,0.54
3775282,0.511
3781600,0.55
3788182,0.528
3794752,0.547
3801346,0.522
3807777,0.549
3814292,0.508
3820689,0.528
3827259,0.517
3833682,0.498
3839982,0.504
3846494,0.528
3852897,0.552
3859376,0.529
3865677,0.531
3872215,0.526
3878643,0.536
3884952,0.504
3891444,0.544
3898200,0.548
3904719,0.504
3911488,0.53
3917964,0.509
3924533,0.5
3930768,0.497
3937122,0.481
3943630,0.514
3949983,0.511
3956419,0.491
3962648,0.517
3969045,0.538
3975506,0.485
3981960,0.497
3988300,0.474
3994624,0.492
4000934,0.478
4007563,0.433
4013985,0.405
4020408,0.484
4026926,0.5
4033385,0.482
4039674,0.489
4046175,0.466
4052987,0.482
4059473,0.459
4065738,0.448
4072087,0.456
4078247,0.474
4084638,0.447
4090959,0.456
4097642,0.451
4103963,0.484
4110441,0.435
4116764,0.426
4123242,0.425
4129384,0.401
4135773,0.435
4141983,0.426
4148445,0.431
4155121,0.47
4161393,0.472
4167764,0.416
4174092,0.431
4180523,0.408
4187110,0.405
4193565,0.435
4199983,0.383
4206310,0.373
4212806,0.389
4219111,0.366
4225727,0.384
4232062,0.358
4238627,0.366
4244895,0.357
4251373,0.325
4257733,0.364
4263938,0.375
4270379,0.319
4276722,0.363
4283097,0.354
4289493,0.371
4296067,0.338
4302612,0.262
4309204,0.273
4315486,0.245
4321840,0.242
4328362,0.275
4334963,0.199
4341567,0.248
4348071,0.187
4354518,0.274
4360805,0.285
4367142,0.265
4373517,0.266
4379916,0.197
4386205,0.272
4392366,0.252
4398835,0.24
4405047,0.286
4411580,0.277
4418050,0.256
4424331,0.204
4430759,0.181
4437223,0.306
4443565,0.222
4450033,0.283
4456530,0.239
4462908,0.242
4469467,0.203
4475710,0.223
4481877,0.197
4488304,0.222
4494428,0.217
4500906,0.192
4507455,0.23
4514103,0.187
4520593,0.249
4527033,0.201
4533312,0.2
4539721,0.282
4546198,0.276
4552502,0.253
4558829,0.286
4565437,0.243
4571872,0.209
4578121,0.304
4584507,0.251
4590921,0.27
4597195,0.307
4603734,0.313
4610054,0.213
4616640,0.226
4622880,0.231
4629197,0.264
4635522,0.278
4642090,0.299
4648353,0.255
4654934,0.257
4661579,0.32
4667931,0.291
4674256,0.179
4680630,0.278
4686961,0.264
4693361,0.178
4699667,0.26
4706054,0.254
4712441,0.334
4718793,0.269
4725046,0.321
4731383,0.312
4737718,0.308
4744058,0.37
4750563,0.32
4756923,0.321
4763386,0.303
4769894,0.222
4776338,0.31
4782658,0.264
4789111,0.31
4795337,0.234
4801795,0.288
4807898,0.24
4814306,0.259
4820786,0.252
4827060,0.233
4833440,0.234
4839953,0.348
4846273,0.316
4852394,0.326
4858803,0.27
4865214,0.23
4871420,0.419
4877858,0.332
4884214,0.371
4890568,0.335
4896856,0.345
4903348,0.348
4909438,0.273
4915765,0.268
4922384,0.268
4928655,0.237
4935083,0.186
4941652,0.295
4948062,0.193
4954335,0.245
4960864,0.216
4967183,0.2
4973488,0.212
4979789,0.229
4986044,0.294
4992520,0.193
4998815,0.322
5005052,0.377
5011399,0.364
5017553,0.265
5023874,0.294
5030009,0.297
5036298,0.32
5042545,0.215
5048896,0.188
5055574,0.235
5061968,0.235
5068215,0.297
5074671,0.249
5080874,0.23
5087334,0.256
5093521,0.23
5099892,0.253
5106161,0.295
5112709,0.329
5119005,0.311
5125218,0.243
5131429,0.253
5137629,0.204
5144227,0.211
5150444,0.256
5157006,0.231
5163616,0.215
5170186,0.275
5176590,0.27
5183065,0.3
5189466,0.269
5195982,0.19
5202447,0.262
5208702,0.278
5214977,0.337
5221386,0.345
5227951,0.318
5234152,0.261
5240529,0.283
5246799,0.297
5253170,0.349
5259518,0.304
5265863,0.23
5272290,0.368
5278570,0.326
5284956,0.327
5291389,0.245
5297859,0.314
5304110,0.277
5310658,0.237
5317068,0.306
5323445,0.313
5329967,0.266
5336433,0.215
5342976,0.194
5349236,0.318
5355814,0.292
5362107,0.272
5368588,0.289
5374929,0.352
5381265,0.375
5387680,0.279
5393908,0.29
5400321,0.293
5406679,0.317
5413082,0.301
5419503,0.237
5425818,0.21
5432224,0.308
5438647,0.228
5444974,0.253
5451425,0.294
5457702,0.346
5464051,0.339
5470250,0.2
5476577,0.227
5482984,0.366
5489494,0.367
5495837,0.472
5502236,0.267
5508794,0.267
5515044,0.28
5521446,0.331
5527809,0.304
5534182,0.279
5540380,0.278
5546786,0.332
5553245,0.265
5559877,0.26
5566102,0.213
5572402,0.217
5578625,0.206
5585022,0.232
5591456,0.276
5597639,0.301
5604141,0.371
5610424,0.29
5616981,0.391
5623263,0.239
5629673,0.222
5636043,0.262
5642571,0.215
5648852,0.233
5655301,0.209
5661385,0.196
5667892,0.242
5674421,0.196
5681019,0.256
5687463,0.264
5693870,0.315
5700402,0.26
5706433,0.274
5712978,0.262
5719099,0.269
5725528,0.339
5731900,0.291
5738240,0.204
5744367,0.193
5750746,0.271
5757090,0.199
5763625,0.215
5770022,0.239
5776557,0.227
5783118,0.251
5789541,0.29
5795911,0.306
5802201,0.237
5808616,0.331
5815047,0.312
5821293,0.243
5827483,0.253
5833944,0.251
5840281,0.375
5846521,0.345
5853079,0.307
5859414,0.252
5865759,0.372
5872078,0.316
5878554,0.347
5884891,0.288
5891359,0.347
5897665,0.38
5904062,0.327
5910536,0.248
5916901,0.234
5923176,0.258
5929554,0.195
5936134,0.19
5942290,0.212
5948630,0.219
5955003,0.32
5961340,0.183
5967662,0.256
5973926,0.236
5980208,0.346
5986541,0.149
5992995,0.253
5999190,0.284
6005396,0.251
6011642,0.172
6018094,0.187
6024606,0.18
6031035,0.244
6037376,0.231
6043655,0.235
6049968,0.209
6056194,0.296
6062486,0.254
6068893,0.19
6075348,0.262
6081535,0.264
6087764,0.191
6094312,0.27
6100475,0.24
6106798,0.283
6113016,0.31
6119420,0.326
6125733,0.29
6132011,0.346
6138316,0.259
6144668,0.289
6151054,0.257
6157144,0.288
6163464,0.357
6169857,0.341
6176124,0.346
6182362,0.256
6188534,0.238
6194936,0.261
6201206,0.25
6207707,0.18
6214469,0.292
6220772,0.321
6227167,0.216
6233605,0.242
6240090,0.219
6246284,0.217
6252765,0.244
6259006,0.186
6265169,0.21
6271377,0.29
6277485,0.204
6283913,0.25
6289944,0.215
6296205,0.195
6302377,0.199
6308532,0.288
6314769,0.257
6320834,0.257
6327052,0.258
6333367,0.306
6339668,0.221
6345933,0.279
6352263,0.261
6358768,0.189
6364986,0.232
6371371,0.203
6377892,0.19
6384087,0.24
6390499,0.256
6396861,0.258
6403280,0.246
